,,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population
0-99% FPL ,2011,19.6%,"42,000",16.0%,"28,000",12.7%,"17,000",18.1%,"25,000",20.2%,"17,000",10.1%,"6,000",30.3%,"34,000",26.6%,"25,000",25.5%,"18,000",10.7%,"11,000",15.1%,"27,000",9.7%,"171,000",13.1%,"194,000",9.1%,"95,000",12.4%,"98,000",4.5*,"32,000",8.8*,"42,000",18.3%,"73,000",2.1*,"5,000",12.4%,"16,000",14.5%,"203,000",4.9*,"17,000",23.9%,"47,000",11.0%,"20,000",25.0%,"229,000",24.3%,"194,000",23.4%,"158,000",23.7%,"121,000",32.7%,"144,000",29.4%,"74,000",27.7%,"38,000",41.0%,"58,000",14.8%,"121,000",22.4%,"91,000",15.0%,"38,000",10.3%,"26,000",14.2%,"56,000",15.9*,"9,000",21.4%,"2,073,000",13.6%,"407,000",14.3%,"430,000",18.9%,"380,000",22.2%,"482,000",28.1%,"45,000",17.6%,"6,439,000"
0-99% FPL ,2012,26.0%,"56,000",9.6*,"17,000",32.4%,"42,000",22.4%,"31,000",20.5%,"18,000",29.7%,"19,000",21.2%,"24,000",17.5%,"16,000",31.4%,"23,000",11.8%,"11,000",20.4%,"36,000",11.0%,"198,000",10.7%,"160,000",12.4%,"131,000",14.8%,"118,000",6.2%,"45,000",13.8%,"66,000",12.8%,"52,000",6.9*,"17,000",8.7*,"12,000",21.3%,"301,000",10.6*,"38,000",22.8%,"45,000",4.2*,"8,000",34.2%,"316,000",26.6%,"215,000",13.5%,"92,000",20.1%,"104,000",37.6%,"168,000",29.6%,"76,000",28.0%,"38,000",36.3%,"51,000",20.3%,"167,000",21.6%,"88,000",21.6%,"55,000",7.0*,"18,000",28.6%,"114,000",24.6%,"14,000",23.3%,"2,271,000",14.5%,"440,000",16.9%,"515,000",16.3%,"330,000",24.5%,"540,000",27.1%,"45,000",19.3%,"7,137,000"
0-99% FPL ,2013,20.8%,"45,000",28.9%,"51,000",13.5%,"17,000",14.3*,"20,000",7.9*,"7,000",16.4%,"10,000",32.5%,"37,000",21.4%,"20,000",26.4%,"19,000",8.7*,"8,000",12.8*,"23,000",9.8%,"178,000",13.7%,"209,000",10.1%,"108,000",9.2%,"74,000",9.1*,"66,000",10.2%,"49,000",11.7*,"48,000",13.0*,"32,000",11.2*,"15,000",15.9%,"226,000",3.3*,"12,000",17.9%,"36,000",11.3*,"20,000",30.7%,"287,000",38.7%,"316,000",19.0%,"130,000",19.1%,"99,000",26.6%,"119,000",30.8%,"79,000",18.7%,"25,000",26.0%,"37,000",14.6%,"121,000",14.3%,"59,000",19.6%,"51,000",12.6%,"32,000",21.2%,"85,000",7.6*,"4,000",19.1%,"1,882,000",17.4%,"531,000",11.6%,"357,000",21.7%,"441,000",12.8%,"284,000",35.0%,"58,000",17.0%,"6,326,000"
0-99% FPL ,2014,14.2%,"31,000",16.3%,"29,000",11.4%,"15,000",27.1%,"37,000",20.6%,"18,000",31.3%,"20,000",26.3%,"30,000",25.1%,"24,000",24.8%,"18,000",11.0*,"11,000",11.8%,"21,000",19.5%,"359,000",13.5%,"208,000",4.8*,"52,000",18.7%,"152,000",13.4*,"99,000",11.8%,"57,000",12.6*,"52,000",3.9*,"10,000",5.0*,"7,000",14.4%,"206,000",3.4*,"12,000",14.3*,"29,000",8.8*,"16,000",29.5%,"279,000",28.6%,"235,000",18.8%,"131,000",19.8%,"104,000",22.9%,"104,000",33.7%,"87,000",31.5%,"43,000",34.4%,"49,000",6.9%,"58,000",19.4*,"81,000",19.7%,"51,000",1.7*,"4,000",23.2%,"93,000",28.9%,"17,000",21.0%,"2,076,000",16.0%,"495,000",16.7%,"517,000",21.4%,"437,000",23.6%,"530,000",18.8%,"31,000",18.4%,"6,932,000"
0-99% FPL ,2015,16.8%,"36,000",25.8%,"45,000",14.2*,"18,000",21.7*,"31,000",14.8*,"13,000",24.6%,"16,000",22.8*,"25,000",24.9%,"25,000",29.5%,"22,000",13.1*,"14,000",16.8*,"28,000",12.5%,"239,000",14.2%,"228,000",14.1%,"151,000",12.1*,"101,000",7.9*,"59,000",13.0*,"62,000",12.5*,"53,000",8.5%,"21,000",16.8*,"22,000",19.4%,"281,000",5.7*,"21,000",35.0*,"76,000",14.3*,"27,000",31.2%,"306,000",22.3%,"191,000",18.9*,"139,000",31.2%,"157,000",30.8%,"140,000",26.5%,"66,000",34.4%,"43,000",32.7%,"45,000",17.9%,"147,000",19.0%,"84,000",13.1*,"34,000",13.5*,"36,000",24.9%,"103,000",10.6*,"6,000",23.6%,"2,346,000",19.2%,"603,000",17.3%,"547,000",23.2%,"471,000",17.3%,"399,000",34.0%,"62,000",19.8%,"7,539,000"
0-99% FPL ,2016,19.8%,"47,000",12.5*,"21,000",25.7*,"32,000",16.7*,"28,000",18.7*,"17,000",17.6%,"10,000",39.1%,"45,000",10.4*,"10,000",26.6*,"17,000",11.0*,"10,000",18.1*,"31,000",14.3%,"252,000",13.1%,"208,000",17.6*,"205,000",18.8*,"176,000",7.1*,"53,000",12.4*,"64,000",14.5*,"57,000",10.6*,"26,000",15.1*,"23,000",25.4%,"362,000",5.9*,"24,000",12.0*,"28,000",25.4*,"47,000",32.4%,"293,000",29.9%,"274,000",26.1%,"180,000",25.2%,"130,000",40.3%,"199,000",22.6*,"64,000",17.4*,"21,000",37.9%,"59,000",18.2%,"150,000",15.7*,"64,000",8.4*,"24,000",10.2*,"31,000",14.7*,"59,000",12.4*,"7,000",23.2%,"2,316,000",14.6%,"436,000",16.6%,"528,000",21.4%,"461,000",18.8%,"451,000",44.8%,"77,000",19.8%,"7,617,000"
0-99% FPL ,2017,27.2*,"60,000",12.5*,"22,000",12.6*,"17,000",31.0*,"42,000",24.8*,"21,000",28.9*,"18,000",8.4*,"10,000",19.9*,"19,000",15.0*,"11,000",10.2*,"10,000",24.6*,"44,000",8.1*,"156,000",11.9*,"192,000",7.4*,"84,000",11.6*,"99,000",12.2*,"93,000",8.0*,"39,000",13.6*,"57,000",6.9*,"17,000",8.7*,"12,000",15.0%,"224,000",4.4*,"17,000",22.9*,"49,000",19.6*,"36,000",20.6%,"201,000",29.7%,"252,000",19.9%,"145,000",19.1*,"104,000",17.8*,"83,000",19.9*,"54,000",23.0*,"32,000",43.1%,"64,000",9.4*,"80,000",27.5%,"119,000",8.4*,"22,000",8.8*,"23,000",14.2*,"59,000",21.4*,"12,000",20.6%,"2,082,000",11.6%,"366,000",13.1%,"422,000",28.3%,"598,000",15.4%,"360,000",29.8%,"52,000",16.8%,"6,479,000"
0-99% FPL ,2018,13.7*,"31,000",19.2*,"34,000",17.1*,"22,000",8.5*,"11,000",14.2*,"12,000",23.9*,"15,000",21.6*,"25,000",15.5%,"15,000",17.7*,"13,000",8.3*,"8,000",7.6*,"13,000",10.9%,"209,000",11.7%,"190,000",9.6*,"109,000",8.3%,"72,000",9.1*,"70,000",14.6*,"72,000",13.3*,"57,000",5.1*,"13,000",12.1*,"16,000",15.6%,"235,000",9.2*,"35,000",18.2*,"39,000",6.6*,"12,000",27.0%,"266,000",27.1%,"232,000",24.7%,"183,000",18.0%,"99,000",33.0*,"155,000",10.1*,"28,000",14.8*,"21,000",36.4*,"54,000",13.8%,"116,000",17.1%,"74,000",12.8*,"34,000",11.3*,"29,000",21.0*,"88,000",8.7*,"5,000",18.8%,"1,901,000",15.4%,"489,000",16.1%,"520,000",16.7%,"355,000",17.7%,"419,000",33.4*,"59,000",16.6%,"6,456,000"
0-99% FPL ,2019,17.0%,"36,000",16.7%,"29,000",18.4%,"24,000",8.6%,"11,000",14.5%,"12,000",18.7%,"12,000",24.8%,"28,000",21.8%,"22,000",19.8%,"15,000",7.1%,"7,000",7.4%,"13,000",4.0%,"77,000",12.8%,"208,000",2.2%,"25,000",6.7%,"59,000",3.0%,"23,000",7.8*,"38,000",9.3*,"40,000",1.5%,"4,000",7.6*,"10,000",16.1%,"244,000",6.4%,"25,000",19.2*,"41,000",6.9%,"13,000",25.8%,"257,000",28.3%,"243,000",12.3%,"92,000",20.4%,"111,000",33.4%,"158,000",26.3%,"72,000",23.1%,"33,000",37.3%,"55,000",5.7%,"47,000",10.8%,"47,000",3.6%,"9,000",5.1*,"13,000",23.8%,"100,000",19.7*,"12,000",19.2%,"1,925,000",8.4%,"266,000",10.9%,"354,000",20.3%,"433,000",17.8%,"424,000",28.5%,"50,000",14.7%,"5,721,000"
0-99% FPL ,2020,19.4%,"39,000",18.4%,"32,000",14.1%,"18,000",19.1%,"25,000",8.8%,"8,000",15.1%,"9,000",18.5%,"21,000",12.6%,"13,000",31.6%,"25,000",15.7*,"15,000",6.8%,"12,000",9.3%,"179,000",7.1%,"116,000",7.0%,"79,000",7.5%,"66,000",4.5*,"34,000",7.8*,"38,000",2.0*,"9,000",2.3*,"6,000",9.4%,"13,000",10.8%,"165,000",3.6%,"14,000",10.3%,"22,000",5.7%,"11,000",28.6%,"287,000",28.0%,"241,000",20.6%,"156,000",10.5%,"57,000",25.0%,"119,000",31.1%,"87,000",22.4%,"32,000",29.4%,"44,000",12.0%,"100,000",8.1*,"35,000",10.8*,"28,000",12.8*,"33,000",14.6%,"61,000",12.9%,"8,000",16.7%,"1,664,000",9.3%,"292,000",9.0%,"293,000",17.8%,"380,000",16.6%,"398,000",17.9%,"31,000",13.7%,"5,313,000"
