,County,Year,Percentage of Obese Population,Total Obese Population
0,Butte,2011,78.5,134000.0
1,Butte,2012,73.8,126000.0
2,Butte,2013,72.3,123000.0
3,Butte,2014,84.69999999999999,148000.0
4,Butte,2015,84.1,148000.0
5,Butte,2016,76.4,135000.0
6,Butte,2017,79.1,147000.0
7,Butte,2018,77.8,128000.0
8,Butte,2019,75.6,125000.0
9,Butte,2020,73.8,120000.0
10,Butte,2021,75.0,118000.0
11,Butte,2022,78.0,126000.0
12,Butte,2023,79.3,129000.0
13,Shasta,2011,81.7,111000.0
14,Shasta,2012,85.69999999999999,118000.0
15,Shasta,2013,76.3,104000.0
16,Shasta,2014,83.7,116000.0
17,Shasta,2015,74.0,103000.0
18,Shasta,2016,81.3,113000.0
19,Shasta,2017,74.2,99000.0
20,Shasta,2018,83.4,118000.0
21,Shasta,2019,84.3,117000.0
22,Shasta,2020,82.9,110000.0
23,Shasta,2021,82.7,113000.0
24,Shasta,2022,81.9,114000.0
25,Shasta,2023,78.4,109000.0
26,Humboldt,2011,82.5,85000.0
27,Humboldt,2012,75.0,78000.0
28,Humboldt,2013,78.1,81000.0
29,Humboldt,2014,86.4,89000.0
30,Humboldt,2015,78.0,82000.0
31,Humboldt,2016,67.7,72000.0
32,Humboldt,2017,79.9,80000.0
33,Humboldt,2018,71.9,68000.0
34,Humboldt,2019,69.4,73000.0
35,Humboldt,2020,75.6,76000.0
36,Humboldt,2021,72.0,72000.0
37,Humboldt,2022,81.9,84000.0
38,Humboldt,2023,80.8,84000.0
39,"Siskiyou, Lassen, Trinity, Modoc, Plumas, Sierra",2011,78.9,88000.0
40,"Siskiyou, Lassen, Trinity, Modoc, Plumas, Sierra",2012,83.6,91000.0
41,"Siskiyou, Lassen, Trinity, Modoc, Plumas, Sierra",2013,79.7,88000.0
42,"Siskiyou, Lassen, Trinity, Modoc, Plumas, Sierra",2014,82.3,91000.0
43,"Siskiyou, Lassen, Trinity, Modoc, Plumas, Sierra",2015,74.4,83000.0
44,"Siskiyou, Lassen, Trinity, Modoc, Plumas, Sierra",2016,84.6,93000.0
45,"Siskiyou, Lassen, Trinity, Modoc, Plumas, Sierra",2017,81.6,85000.0
46,"Siskiyou, Lassen, Trinity, Modoc, Plumas, Sierra",2018,85.30000000000001,88000.0
47,"Siskiyou, Lassen, Trinity, Modoc, Plumas, Sierra",2019,80.7,76000.0
48,"Siskiyou, Lassen, Trinity, Modoc, Plumas, Sierra",2020,78.3,86000.0
49,"Siskiyou, Lassen, Trinity, Modoc, Plumas, Sierra",2021,68.7,72000.0
50,"Siskiyou, Lassen, Trinity, Modoc, Plumas, Sierra",2022,83.6,90000.0
51,"Siskiyou, Lassen, Trinity, Modoc, Plumas, Sierra",2023,71.6,74000.0
52,Mendocino,2011,72.19999999999999,48000.0
53,Mendocino,2012,73.1,49000.0
54,Mendocino,2013,79.5,54000.0
55,Mendocino,2014,84.3,57000.0
56,Mendocino,2015,67.1,45000.0
57,Mendocino,2016,80.0,55000.0
58,Mendocino,2017,82.8,54000.0
59,Mendocino,2018,74.8,55000.0
60,Mendocino,2019,82.6,60000.0
61,Mendocino,2020,83.0,55000.0
62,Mendocino,2021,69.69999999999999,49000.0
63,Mendocino,2022,79.4,55000.0
64,Mendocino,2023,80.19999999999999,57000.0
65,Lake,2011,86.0,44000.0
66,Lake,2012,84.5,43000.0
67,Lake,2013,78.80000000000001,40000.0
68,Lake,2014,80.6,41000.0
69,Lake,2015,80.1,41000.0
70,Lake,2016,75.80000000000001,39000.0
71,Lake,2017,79.5,39000.0
72,Lake,2018,73.2,40000.0
73,Lake,2019,86.1,41000.0
74,Lake,2020,79.4,37000.0
75,Lake,2021,89.9,47000.0
76,Lake,2022,72.8,37000.0
77,Lake,2023,82.8,43000.0
78,"Tehema, Glenn, Colusa",2011,82.6,70000.0
79,"Tehema, Glenn, Colusa",2012,79.5,65000.0
80,"Tehema, Glenn, Colusa",2013,76.3,64000.0
81,"Tehema, Glenn, Colusa",2014,79.1,67000.0
82,"Tehema, Glenn, Colusa",2015,87.4,74000.0
83,"Tehema, Glenn, Colusa",2016,85.5,73000.0
84,"Tehema, Glenn, Colusa",2017,74.8,67000.0
85,"Tehema, Glenn, Colusa",2018,88.8,75000.0
86,"Tehema, Glenn, Colusa",2019,85.30000000000001,74000.0
87,"Tehema, Glenn, Colusa",2020,86.3,75000.0
88,"Tehema, Glenn, Colusa",2021,86.0,73000.0
89,"Tehema, Glenn, Colusa",2022,83.69999999999999,74000.0
90,"Tehema, Glenn, Colusa",2023,78.4,68000.0
91,Sutter,2011,70.4,46000.0
92,Sutter,2012,86.0,59000.0
93,Sutter,2013,83.9,59000.0
94,Sutter,2014,67.80000000000001,48000.0
95,Sutter,2015,80.4,58000.0
96,Sutter,2016,82.4,59000.0
97,Sutter,2017,81.4,60000.0
98,Sutter,2018,80.30000000000001,65000.0
99,Sutter,2019,76.4,58000.0
100,Sutter,2020,79.1,60000.0
101,Sutter,2021,90.2,63000.0
102,Sutter,2022,79.5,62000.0
103,Sutter,2023,85.5,65000.0
104,Yuba,2011,81.8,41000.0
105,Yuba,2012,81.8,42000.0
106,Yuba,2013,84.8,43000.0
107,Yuba,2014,87.80000000000001,45000.0
108,Yuba,2015,84.4,44000.0
109,Yuba,2016,88.5,47000.0
110,Yuba,2017,73.9,50000.0
111,Yuba,2018,85.4,52000.0
112,Yuba,2019,86.7,48000.0
113,Yuba,2020,61.8,35000.0
114,Yuba,2021,85.69999999999999,48000.0
115,Yuba,2022,89.4,53000.0
116,Yuba,2023,90.5,53000.0
117,Nevada,2011,71.80000000000001,59000.0
118,Nevada,2012,77.8,61000.0
119,Nevada,2013,78.3,62000.0
120,Nevada,2014,76.8,62000.0
121,Nevada,2015,70.8,57000.0
122,Nevada,2016,73.4,59000.0
123,Nevada,2017,70.2,55000.0
124,Nevada,2018,70.3,63000.0
125,Nevada,2019,69.9,54000.0
126,Nevada,2020,70.3,53000.0
