,,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population,%,Population
Urban,-2011,49.8%,"108,000",42.2%,"74,000",34.1%,"44,000",-,-,32.3%,"28,000",-,-,-,-,77.1%,"73,000",40.7%,"29,000",-,-,-,-,98.2*,"1,733,000",99.9*,"1,480,000",93.7%,"979,000",100.0*,"787,000",95.9*,"685,000",82.9%,"395,000",86.2%,"346,000",97.8*,"240,000",82.3%,"109,000",96.7*,"1,356,000",70.6%,"246,000",94.5%,"184,000",29.7%,"54,000",81.0%,"744,000",79.4%,"635,000",71.8%,"485,000",86.7%,"443,000",68.7%,"303,000",70.7%,"179,000",82.9*,"115,000",51.0%,"72,000",95.2%,"777,000",88.0%,"359,000",80.6%,"204,000",45.7%,"115,000",68.4%,"271,000",88.9*,"49,000",99.0%,"9,595,000",99.8*,"2,981,000",95.5%,"2,879,000",84.6%,"1,696,000",87.2%,"1,895,000",72.6%,"117,000",89.7%,"32,863,000"
Urban,-2012,39.6%,"85,000",48.9%,"86,000",45.3%,"59,000",-,-,38.0%,"33,000",-,-,-,-,83.3%,"78,000",50.3%,"36,000",-,-,-,-,98.2*,"1,764,000",99.9*,"1,500,000",95.5%,"1,011,000",100.0*,"795,000",93.9%,"683,000",77.5%,"370,000",89.5%,"359,000",97.9*,"240,000",76.1%,"101,000",97.9*,"1,383,000",75.5%,"269,000",91.2*,"180,000",34.1%,"61,000",77.3%,"715,000",80.3%,"648,000",80.8%,"552,000",84.4%,"435,000",67.7%,"302,000",67.9%,"174,000",79.2*,"107,000",62.9%,"89,000",91.4%,"752,000",84.7%,"346,000",87.8%,"225,000",42.2%,"106,000",66.8%,"267,000",84.1*,"47,000",99.3%,"9,669,000",100.0*,"3,027,000",93.5%,"2,841,000",85.8%,"1,733,000",91.0%,"2,001,000",61.9%,"102,000",90.0%,"33,233,000"
Urban,-2013,65.7%,"142,000",38.1%,"67,000",38.6%,"50,000",-,-,33.3%,"29,000",-,-,-,-,79.6%,"76,000",52.9%,"38,000",-,-,-,-,98.7*,"1,797,000",100.0*,"1,523,000",94.4%,"1,010,000",100.0*,"805,000",96.1%,"704,000",78.5%,"377,000",83.5%,"341,000",96.7*,"238,000",89.4%,"119,000",96.1*,"1,362,000",57.4%,"207,000",90.0%,"179,000",31.8%,"58,000",66.0%,"617,000",85.5%,"698,000",88.9%,"610,000",90.3%,"469,000",66.6%,"299,000",79.3%,"204,000",81.0*,"110,000",63.1%,"90,000",89.1%,"737,000",86.5%,"357,000",84.2%,"218,000",49.9%,"126,000",61.9%,"248,000",87.2*,"49,000",99.3%,"9,770,000",99.8*,"3,048,000",95.4%,"2,926,000",89.4%,"1,814,000",86.0%,"1,908,000",68.9%,"114,000",90.0%,"33,534,000"
Urban,-2014,46.5%,"102,000",33.4%,"59,000",32.5%,"42,000",-,-,39.4%,"34,000",-,-,-,-,82.7%,"79,000",53.1%,"38,000",-,-,-,-,99.1*,"1,826,000",99.9*,"1,542,000",90.6*,"983,000",100.0*,"812,000",95.7*,"706,000",79.8%,"386,000",89.1*,"368,000",96.5*,"240,000",85.5*,"115,000",98.5*,"1,411,000",64.7%,"237,000",91.2*,"182,000",28.1%,"51,000",73.5%,"694,000",84.0%,"690,000",87.6*,"608,000",86.3*,"452,000",82.1%,"372,000",76.9%,"199,000",82.0%,"111,000",65.3%,"94,000",91.9%,"764,000",96.5*,"403,000",76.6%,"199,000",64.6%,"164,000",73.1%,"294,000",83.8%,"48,000",98.9*,"9,782,000",99.8*,"3,081,000",94.2%,"2,923,000",82.3%,"1,684,000",87.2%,"1,960,000",80.0%,"134,000",90.1%,"33,870,000"
Urban,-2015,50.5%,"108,000",39.1%,"69,000",29.5%,"38,000",-,-,37.9%,"33,000",-,-,-,-,80.8*,"82,000",36.2%,"27,000",-,-,-,-,98.9*,"1,885,000",100.0*,"1,602,000",95.4*,"1,022,000",100.0*,"837,000",97.0*,"725,000",82.6%,"394,000",92.4*,"392,000",93.7%,"230,000",82.0*,"106,000",97.8*,"1,415,000",60.3%,"221,000",95.4*,"206,000",23.2*,"44,000",73.2%,"718,000",75.6%,"647,000",88.9*,"657,000",87.7*,"442,000",74.0%,"337,000",75.0*,"187,000",86.0*,"108,000",51.5%,"71,000",93.7*,"767,000",87.1*,"383,000",85.9*,"226,000",45.1%,"121,000",71.8%,"296,000",88.0*,"47,000",98.7*,"9,821,000",100.0*,"3,144,000",94.2%,"2,971,000",83.1%,"1,686,000",92.5%,"2,127,000",63.6%,"117,000",90.1%,"34,308,000"
Urban,-2016,49.1%,"116,000",31.6%,"52,000",34.2%,"42,000",-,-,34.1%,"31,000",-,-,-,-,71.4*,"66,000",57.3%,"36,000",-,-,-,-,99.6*,"1,750,000",100.0*,"1,592,000",91.0*,"1,062,000",100.0*,"939,000",96.9*,"724,000",83.6*,"434,000",88.7*,"349,000",99.0*,"245,000",90.1*,"136,000",94.8*,"1,353,000",77.8*,"314,000",89.4*,"205,000",19.5*,"36,000",76.6%,"693,000",73.4%,"674,000",82.8*,"573,000",90.8%,"469,000",76.0%,"375,000",78.0*,"220,000",82.1*,"98,000",50.7%,"79,000",95.0*,"784,000",90.6*,"371,000",76.8*,"215,000",53.3%,"160,000",74.6%,"297,000",86.5*,"47,000",99.0*,"9,887,000",99.7*,"2,986,000",94.6%,"3,009,000",86.7%,"1,867,000",92.1%,"2,214,000",76.3%,"132,000",90.3%,"34,632,000"
Urban,-2017,48.0*,"106,000",30.7%,"54,000",50.8%,"67,000",-,-,25.5*,"22,000",-,-,-,-,66.0*,"64,000",69.9%,"53,000",-,-,-,-,98.8*,"1,889,000",99.8*,"1,604,000",91.7%,"1,032,000",100.0*,"854,000",93.4*,"712,000",78.8*,"387,000",92.4*,"390,000",93.2*,"236,000",89.8*,"122,000",95.3*,"1,420,000",64.4%,"243,000",87.0*,"185,000",46.3%,"85,000",77.3%,"755,000",80.5*,"682,000",90.5*,"661,000",92.3*,"502,000",76.4%,"356,000",56.5%,"153,000",82.2*,"115,000",62.1%,"92,000",95.5*,"806,000",91.9*,"396,000",74.4*,"197,000",55.9%,"145,000",70.5%,"295,000",89.0*,"52,000",99.0*,"9,985,000",99.9*,"3,150,000",93.9%,"3,015,000",82.0%,"1,735,000",82.5%,"1,930,000",72.4*,"127,000",89.6%,"34,673,000"
Urban,-2018,48.3%,"107,000",43.8%,"77,000",59.4%,"78,000",-,-,37.8%,"33,000",-,-,-,-,70.7%,"69,000",76.8*,"58,000",-,-,-,-,97.9*,"1,881,000",99.9*,"1,618,000",91.6%,"1,038,000",100.0*,"861,000",93.5*,"713,000",84.4*,"413,000",87.8*,"373,000",95.5*,"241,000",83.1*,"112,000",95.9*,"1,443,000",71.7%,"275,000",96.8*,"208,000",39.0*,"73,000",79.2%,"781,000",77.5%,"663,000",89.5*,"663,000",82.9*,"453,000",54.2%,"255,000",86.5*,"238,000",90.9*,"129,000",66.4%,"98,000",91.4*,"771,000",87.1*,"378,000",83.1*,"219,000",46.0%,"120,000",75.9%,"319,000",79.3*,"48,000",99.3%,"10,019,000",99.9*,"3,166,000",92.9%,"3,005,000",83.8%,"1,786,000",84.6%,"2,003,000",73.4*,"130,000",89.8%,"34,917,000"
Urban,-2019,69.0%,"145,000",39.1%,"68,000",63.1%,"81,000",-,-,49.7%,"43,000",-,-,-,-,82.8%,"84,000",89.7%,"69,000",-,-,-,-,99.9*,"1,928,000",100.0*,"1,627,000",95.4%,"1,085,000",100.0*,"871,000",96.6*,"740,000",83.8%,"405,000",87.5%,"372,000",96.8*,"244,000",90.8*,"122,000",95.8%,"1,457,000",74.5%,"291,000",94.0*,"201,000",48.5%,"91,000",88.7%,"882,000",78.1%,"671,000",83.2%,"624,000",89.9%,"492,000",66.6%,"314,000",67.5%,"186,000",84.6%,"120,000",67.9%,"101,000",95.9%,"799,000",85.9%,"372,000",89.9%,"235,000",52.8%,"137,000",70.5%,"296,000",97.0*,"60,000",99.4%,"9,976,000",97.8%,"3,082,000",95.4%,"3,091,000",84.3%,"1,796,000",80.0%,"1,902,000",68.3%,"121,000",90.5%,"35,176,000"
Urban,-2020,63.1%,"127,000",45.9%,"80,000",47.5%,"61,000",21.6%,"29,000",19.9%,"17,000",-,-,-,-,62.8%,"63,000",58.7%,"46,000",-,-,-,-,97.9%,"1,888,000",99.1*,"1,614,000",92.2%,"1,049,000",100.0*,"872,000",93.2%,"713,000",74.4%,"357,000",89.1%,"379,000",93.7%,"234,000",74.4%,"99,000",96.3%,"1,476,000",72.1%,"283,000",87.1%,"187,000",30.3%,"58,000",74.9%,"750,000",77.3%,"666,000",78.3%,"593,000",83.1%,"456,000",54.2%,"257,000",62.1%,"173,000",76.5%,"109,000",37.5%,"56,000",82.4%,"683,000",90.1%,"389,000",75.7%,"196,000",61.3%,"158,000",78.9%,"330,000",76.1%,"47,000",98.2%,"9,809,000",98.3%,"3,088,000",94.6%,"3,064,000",88.2%,"1,884,000",83.3%,"1,996,000",55.3%,"97,000",88.6%,"34,433,000"
